"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"2.2.1.2 Openlijk geweld tegen goed";"2015";"Nederland";890
"2.2.1.2 Openlijk geweld tegen goed";"2016";"Nederland";750
"2.2.1.2 Openlijk geweld tegen goed";"2017";"Nederland";645
"2.2.1.2 Openlijk geweld tegen goed";"2018*";"Nederland";550
"2.2.1.2 Openlijk geweld tegen goed";"2019*";"Nederland";670
"2.2.2 Huisvredebreuk";"2010";"Nederland";2490
"2.2.2 Huisvredebreuk";"2011";"Nederland";2605
"2.2.2 Huisvredebreuk";"2012";"Nederland";2635
"2.2.2 Huisvredebreuk";"2013";"Nederland";2605
"2.2.2 Huisvredebreuk";"2014";"Nederland";2675
"2.2.2 Huisvredebreuk";"2015";"Nederland";2330
"2.2.2 Huisvredebreuk";"2016";"Nederland";2535
"2.2.2 Huisvredebreuk";"2017";"Nederland";2340
"2.2.2 Huisvredebreuk";"2018*";"Nederland";2565
"2.2.2 Huisvredebreuk";"2019*";"Nederland";2915
"2.2.3 Lokaalvredebreuk";"2010";"Nederland";670
"2.2.3 Lokaalvredebreuk";"2011";"Nederland";535
"2.2.3 Lokaalvredebreuk";"2012";"Nederland";430
"2.2.3 Lokaalvredebreuk";"2013";"Nederland";405
"2.2.3 Lokaalvredebreuk";"2014";"Nederland";430
"2.2.3 Lokaalvredebreuk";"2015";"Nederland";425
"2.2.3 Lokaalvredebreuk";"2016";"Nederland";430
"2.2.3 Lokaalvredebreuk";"2017";"Nederland";365
"2.2.3 Lokaalvredebreuk";"2018*";"Nederland";325
"2.2.3 Lokaalvredebreuk";"2019*";"Nederland";325
"2.2.4 Computervredebreuk";"2010";"Nederland";1070
"2.2.4 Computervredebreuk";"2011";"Nederland";2025
"2.2.4 Computervredebreuk";"2012";"Nederland";4620
"2.2.4 Computervredebreuk";"2013";"Nederland";2535
"2.2.4 Computervredebreuk";"2014";"Nederland";2045
"2.2.4 Computervredebreuk";"2015";"Nederland";2225
"2.2.4 Computervredebreuk";"2016";"Nederland";1875
"2.2.4 Computervredebreuk";"2017";"Nederland";2320
"2.2.4 Computervredebreuk";"2018*";"Nederland";2945
"2.2.4 Computervredebreuk";"2019*";"Nederland";4815
"2.2.5 Discriminatie";"2010";"Nederland";440
"2.2.5 Discriminatie";"2011";"Nederland";340
"2.2.5 Discriminatie";"2012";"Nederland";305
"2.2.5 Discriminatie";"2013";"Nederland";330
"2.2.5 Discriminatie";"2014";"Nederland";3465
"2.2.5 Discriminatie";"2015";"Nederland";450
"2.2.5 Discriminatie";"2016";"Nederland";565
"2.2.5 Discriminatie";"2017";"Nederland";405
"2.2.5 Discriminatie";"2018*";"Nederland";415
"2.2.5 Discriminatie";"2019*";"Nederland";485
"2.2.6 Openbare orde misdrijf (overig)";"2010";"Nederland";7795
"2.2.6 Openbare orde misdrijf (overig)";"2011";"Nederland";7105
"2.2.6 Openbare orde misdrijf (overig)";"2012";"Nederland";2550
"2.2.6 Openbare orde misdrijf (overig)";"2013";"Nederland";1715
"2.2.6 Openbare orde misdrijf (overig)";"2014";"Nederland";1685
"2.2.6 Openbare orde misdrijf (overig)";"2015";"Nederland";1400
"2.2.6 Openbare orde misdrijf (overig)";"2016";"Nederland";1350
"2.2.6 Openbare orde misdrijf (overig)";"2017";"Nederland";1270
"2.2.6 Openbare orde misdrijf (overig)";"2018*";"Nederland";1085
"2.2.6 Openbare orde misdrijf (overig)";"2019*";"Nederland";1030
"2.3 Brandstichting/ontploffing";"2010";"Nederland";7115
"2.3 Brandstichting/ontploffing";"2011";"Nederland";6995
"2.3 Brandstichting/ontploffing";"2012";"Nederland";6120
"2.3 Brandstichting/ontploffing";"2013";"Nederland";5330
"2.3 Brandstichting/ontploffing";"2014";"Nederland";5045
"2.3 Brandstichting/ontploffing";"2015";"Nederland";4900
"2.3 Brandstichting/ontploffing";"2016";"Nederland";4800
"2.3 Brandstichting/ontploffing";"2017";"Nederland";4700
"2.3 Brandstichting/ontploffing";"2018*";"Nederland";4635
"2.3 Brandstichting/ontploffing";"2019*";"Nederland";4700
"2.4 Openbaar gezag misdrijf";"2010";"Nederland";6065
"2.4 Openbaar gezag misdrijf";"2011";"Nederland";5745
"2.4 Openbaar gezag misdrijf";"2012";"Nederland";5085
"2.4 Openbaar gezag misdrijf";"2013";"Nederland";4385
"2.4 Openbaar gezag misdrijf";"2014";"Nederland";4715
"2.4 Openbaar gezag misdrijf";"2015";"Nederland";4415
"2.4 Openbaar gezag misdrijf";"2016";"Nederland";4955
"2.4 Openbaar gezag misdrijf";"2017";"Nederland";4685
"2.4 Openbaar gezag misdrijf";"2018*";"Nederland";5165
"2.4 Openbaar gezag misdrijf";"2019*";"Nederland";6570
"2.4.1 Niet opvolgen van ambtelijk bevel";"2010";"Nederland";3905
"2.4.1 Niet opvolgen van ambtelijk bevel";"2011";"Nederland";3610
"2.4.1 Niet opvolgen van ambtelijk bevel";"2012";"Nederland";3090
"2.4.1 Niet opvolgen van ambtelijk bevel";"2013";"Nederland";2495
"2.4.1 Niet opvolgen van ambtelijk bevel";"2014";"Nederland";2785
"2.4.1 Niet opvolgen van ambtelijk bevel";"2015";"Nederland";2400
"2.4.1 Niet opvolgen van ambtelijk bevel";"2016";"Nederland";2965
"2.4.1 Niet opvolgen van ambtelijk bevel";"2017";"Nederland";2895
"2.4.1 Niet opvolgen van ambtelijk bevel";"2018*";"Nederland";2910
"2.4.1 Niet opvolgen van ambtelijk bevel";"2019*";"Nederland";3385
"2.4.2 Wederspannigheid";"2010";"Nederland";1155
"2.4.2 Wederspannigheid";"2011";"Nederland";1090
"2.4.2 Wederspannigheid";"2012";"Nederland";1120
"2.4.2 Wederspannigheid";"2013";"Nederland";1005
"2.4.2 Wederspannigheid";"2014";"Nederland";980
"2.4.2 Wederspannigheid";"2015";"Nederland";850
"2.4.2 Wederspannigheid";"2016";"Nederland";890
"2.4.2 Wederspannigheid";"2017";"Nederland";780
"2.4.2 Wederspannigheid";"2018*";"Nederland";1330
"2.4.2 Wederspannigheid";"2019*";"Nederland";2030
"2.4.3 Valse aangifte";"2010";"Nederland";470
"2.4.3 Valse aangifte";"2011";"Nederland";515
"2.4.3 Valse aangifte";"2012";"Nederland";490
"2.4.3 Valse aangifte";"2013";"Nederland";515
"2.4.3 Valse aangifte";"2014";"Nederland";525
"2.4.3 Valse aangifte";"2015";"Nederland";465
"2.4.3 Valse aangifte";"2016";"Nederland";450
"2.4.3 Valse aangifte";"2017";"Nederland";390
"2.4.3 Valse aangifte";"2018*";"Nederland";340
"2.4.3 Valse aangifte";"2019*";"Nederland";410
"2.4.5 Verblijf ongewenste vreemdeling";"2010";"Nederland";255
"2.4.5 Verblijf ongewenste vreemdeling";"2011";"Nederland";255
"2.4.5 Verblijf ongewenste vreemdeling";"2012";"Nederland";150
"2.4.5 Verblijf ongewenste vreemdeling";"2013";"Nederland";155
"2.4.5 Verblijf ongewenste vreemdeling";"2014";"Nederland";175
"2.4.5 Verblijf ongewenste vreemdeling";"2015";"Nederland";470
"2.4.5 Verblijf ongewenste vreemdeling";"2016";"Nederland";370
"2.4.5 Verblijf ongewenste vreemdeling";"2017";"Nederland";310
"2.4.5 Verblijf ongewenste vreemdeling";"2018*";"Nederland";190
"2.4.5 Verblijf ongewenste vreemdeling";"2019*";"Nederland";95
"2.4.6 Openbaar gezag misdrijf (overig)";"2010";"Nederland";280
"2.4.6 Openbaar gezag misdrijf (overig)";"2011";"Nederland";275
"2.4.6 Openbaar gezag misdrijf (overig)";"2012";"Nederland";235
"2.4.6 Openbaar gezag misdrijf (overig)";"2013";"Nederland";220
"2.4.6 Openbaar gezag misdrijf (overig)";"2014";"Nederland";245
"2.4.6 Openbaar gezag misdrijf (overig)";"2015";"Nederland";230
"2.4.6 Openbaar gezag misdrijf (overig)";"2016";"Nederland";280
"2.4.6 Openbaar gezag misdrijf (overig)";"2017";"Nederland";310
"2.4.6 Openbaar gezag misdrijf (overig)";"2018*";"Nederland";395
"2.4.6 Openbaar gezag misdrijf (overig)";"2019*";"Nederland";650
"3 Gewelds- en seksuele misdrijven";"2010";"Nederland";115815
"3 Gewelds- en seksuele misdrijven";"2011";"Nederland";114055
"3 Gewelds- en seksuele misdrijven";"2012";"Nederland";110470
"3 Gewelds- en seksuele misdrijven";"2013";"Nederland";103510
"3 Gewelds- en seksuele misdrijven";"2014";"Nederland";98545
"3 Gewelds- en seksuele misdrijven";"2015";"Nederland";92475
"3 Gewelds- en seksuele misdrijven";"2016";"Nederland";90200
"3 Gewelds- en seksuele misdrijven";"2017";"Nederland";85335
