"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"2.1.5 Vernieling, beschadiging (overig)";"2014";"Enschede";675
"2.1.5 Vernieling, beschadiging (overig)";"2015";"Enschede";675
"2.1.5 Vernieling, beschadiging (overig)";"2016";"Enschede";650
"2.1.5 Vernieling, beschadiging (overig)";"2017";"Enschede";540
"2.1.5 Vernieling, beschadiging (overig)";"2018*";"Enschede";480
"2.1.5 Vernieling, beschadiging (overig)";"2019*";"Enschede";580
"2.2 Openbare orde misdrijf";"2010";"Enschede";290
"2.2 Openbare orde misdrijf";"2011";"Enschede";285
"2.2 Openbare orde misdrijf";"2012";"Enschede";225
"2.2 Openbare orde misdrijf";"2013";"Enschede";170
"2.2 Openbare orde misdrijf";"2014";"Enschede";125
"2.2 Openbare orde misdrijf";"2015";"Enschede";145
"2.2 Openbare orde misdrijf";"2016";"Enschede";110
"2.2 Openbare orde misdrijf";"2017";"Enschede";135
"2.2 Openbare orde misdrijf";"2018*";"Enschede";125
"2.2 Openbare orde misdrijf";"2019*";"Enschede";155
"2.2.1 Openlijke geweldpleging";"2010";"Enschede";75
"2.2.1 Openlijke geweldpleging";"2011";"Enschede";85
"2.2.1 Openlijke geweldpleging";"2012";"Enschede";80
"2.2.1 Openlijke geweldpleging";"2013";"Enschede";80
"2.2.1 Openlijke geweldpleging";"2014";"Enschede";60
"2.2.1 Openlijke geweldpleging";"2015";"Enschede";70
"2.2.1 Openlijke geweldpleging";"2016";"Enschede";50
"2.2.1 Openlijke geweldpleging";"2017";"Enschede";60
"2.2.1 Openlijke geweldpleging";"2018*";"Enschede";60
"2.2.1 Openlijke geweldpleging";"2019*";"Enschede";50
"2.2.1.1 Openlijk geweld tegen persoon";"2010";"Enschede";60
"2.2.1.1 Openlijk geweld tegen persoon";"2011";"Enschede";75
"2.2.1.1 Openlijk geweld tegen persoon";"2012";"Enschede";65
"2.2.1.1 Openlijk geweld tegen persoon";"2013";"Enschede";70
"2.2.1.1 Openlijk geweld tegen persoon";"2014";"Enschede";55
"2.2.1.1 Openlijk geweld tegen persoon";"2015";"Enschede";60
"2.2.1.1 Openlijk geweld tegen persoon";"2016";"Enschede";45
"2.2.1.1 Openlijk geweld tegen persoon";"2017";"Enschede";55
"2.2.1.1 Openlijk geweld tegen persoon";"2018*";"Enschede";55
"2.2.1.1 Openlijk geweld tegen persoon";"2019*";"Enschede";45
"2.2.1.2 Openlijk geweld tegen goed";"2010";"Enschede";15
"2.2.1.2 Openlijk geweld tegen goed";"2011";"Enschede";10
"2.2.1.2 Openlijk geweld tegen goed";"2012";"Enschede";15
"2.2.1.2 Openlijk geweld tegen goed";"2013";"Enschede";10
"2.2.1.2 Openlijk geweld tegen goed";"2014";"Enschede";5
"2.2.1.2 Openlijk geweld tegen goed";"2015";"Enschede";10
"2.2.1.2 Openlijk geweld tegen goed";"2016";"Enschede";5
"2.2.1.2 Openlijk geweld tegen goed";"2017";"Enschede";10
"2.2.1.2 Openlijk geweld tegen goed";"2018*";"Enschede";5
"2.2.1.2 Openlijk geweld tegen goed";"2019*";"Enschede";5
"2.2.2 Huisvredebreuk";"2010";"Enschede";40
"2.2.2 Huisvredebreuk";"2011";"Enschede";40
"2.2.2 Huisvredebreuk";"2012";"Enschede";40
"2.2.2 Huisvredebreuk";"2013";"Enschede";40
"2.2.2 Huisvredebreuk";"2014";"Enschede";40
"2.2.2 Huisvredebreuk";"2015";"Enschede";40
"2.2.2 Huisvredebreuk";"2016";"Enschede";30
"2.2.2 Huisvredebreuk";"2017";"Enschede";30
"2.2.2 Huisvredebreuk";"2018*";"Enschede";30
"2.2.2 Huisvredebreuk";"2019*";"Enschede";55
"2.2.3 Lokaalvredebreuk";"2010";"Enschede";15
"2.2.3 Lokaalvredebreuk";"2011";"Enschede";10
"2.2.3 Lokaalvredebreuk";"2012";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2013";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2014";"Enschede";0
"2.2.3 Lokaalvredebreuk";"2015";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2016";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2017";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2018*";"Enschede";5
"2.2.3 Lokaalvredebreuk";"2019*";"Enschede";5
"2.2.4 Computervredebreuk";"2010";"Enschede";10
"2.2.4 Computervredebreuk";"2011";"Enschede";30
"2.2.4 Computervredebreuk";"2012";"Enschede";70
"2.2.4 Computervredebreuk";"2013";"Enschede";35
"2.2.4 Computervredebreuk";"2014";"Enschede";15
"2.2.4 Computervredebreuk";"2015";"Enschede";20
"2.2.4 Computervredebreuk";"2016";"Enschede";15
"2.2.4 Computervredebreuk";"2017";"Enschede";20
"2.2.4 Computervredebreuk";"2018*";"Enschede";15
"2.2.4 Computervredebreuk";"2019*";"Enschede";30
"2.2.5 Discriminatie";"2010";"Enschede";5
"2.2.5 Discriminatie";"2011";"Enschede";10
"2.2.5 Discriminatie";"2012";"Enschede";5
"2.2.5 Discriminatie";"2013";"Enschede";5
"2.2.5 Discriminatie";"2014";"Enschede";5
"2.2.5 Discriminatie";"2015";"Enschede";5
"2.2.5 Discriminatie";"2016";"Enschede";5
"2.2.5 Discriminatie";"2017";"Enschede";5
"2.2.5 Discriminatie";"2018*";"Enschede";0
