Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2009;0-17;524
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2009;0-17;414
Buurt 27   't Zwering;BU01530207;Enschede;2009;0-17;659
Buurt 28   Ruwenbos;BU01530208;Enschede;2009;0-17;536
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2009;0-17;909
Buurt 31   Twekkelerveld;BU01530301;Enschede;2009;0-17;626
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2009;0-17;482
Buurt 41   Bolhaar;BU01530401;Enschede;2009;0-17;292
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2009;0-17;809
Buurt 43   Mekkelholt;BU01530403;Enschede;2009;0-17;333
Buurt 44   Deppenbroek;BU01530404;Enschede;2009;0-17;897
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2009;0-17;182
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2009;0-17;50
Buurt 50   Schreurserve;BU01530500;Enschede;2009;0-17;462
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2009;0-17;411
Buurt 52   Park Stokhorst;BU01530502;Enschede;2009;0-17;745
Buurt 53   Stokhorst;BU01530503;Enschede;2009;0-17;179
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2009;0-17;758
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2009;0-17;1102
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2009;0-17;525
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2009;0-17;899
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2009;0-17;944
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2009;0-17;547
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2009;0-17;1366
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2009;0-17;1047
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2009;0-17;1049
Buurt 69   het Brunink;BU01530609;Enschede;2009;0-17;84
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2009;0-17;38
Buurt 71   Marssteden;BU01530701;Enschede;2009;0-17;12
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2009;0-17;2
Buurt 73   Kennispark;BU01530703;Enschede;2009;0-17;1
Buurt 80   Glanerveld;BU01530800;Enschede;2009;0-17;260
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2009;0-17;664
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2009;0-17;692
Buurt 83   Eekmaat;BU01530803;Enschede;2009;0-17;337
Buurt 84   Oikos;BU01530804;Enschede;2009;0-17;756
Buurt 85   Eilermarke;BU01530805;Enschede;2009;0-17;646
Buurt 86   De Slank;BU01530806;Enschede;2009;0-17;45
Buurt 87   Dolphia;BU01530807;Enschede;2009;0-17;129
Buurt 88   Eekmaat West;BU01530808;Enschede;2009;0-17;928
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2009;0-17;354
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2009;0-17;454
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2009;0-17;229
Buurt 93   Noord Esmarke;BU01530903;Enschede;2009;0-17;75
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2009;0-17;42
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2009;0-17;277
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2009;0-17;43
Buurt 97   Boekelerveld;BU01530907;Enschede;2009;0-17;163
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2009;0-17;51
Buurt 00   City;BU01530000;Enschede;2010;0-17;67
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2010;0-17;202
Buurt 02   De Laares;BU01530002;Enschede;2010;0-17;358
Buurt 03   De Bothoven;BU01530003;Enschede;2010;0-17;513
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2010;0-17;430
Buurt 05   Getfert;BU01530005;Enschede;2010;0-17;509
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2010;0-17;289
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2010;0-17;355
