Gebied;Gebiedscode;Gemeente;Jaar;Leeftijdsgroep;Aantal
Buurt 15   't Weldink;BU01530105;Enschede;2009;75 eo;1
Buurt 16   De Leuriks;BU01530106;Enschede;2009;75 eo;5
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2009;75 eo;356
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2009;75 eo;214
Buurt 22   Pathmos;BU01530202;Enschede;2009;75 eo;68
Buurt 23   Stevenfenne;BU01530203;Enschede;2009;75 eo;169
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2009;75 eo;110
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2009;75 eo;68
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2009;75 eo;91
Buurt 27   't Zwering;BU01530207;Enschede;2009;75 eo;170
Buurt 28   Ruwenbos;BU01530208;Enschede;2009;75 eo;50
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2009;75 eo;174
Buurt 31   Twekkelerveld;BU01530301;Enschede;2009;75 eo;327
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2009;75 eo;133
Buurt 41   Bolhaar;BU01530401;Enschede;2009;75 eo;240
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2009;75 eo;123
Buurt 43   Mekkelholt;BU01530403;Enschede;2009;75 eo;309
Buurt 44   Deppenbroek;BU01530404;Enschede;2009;75 eo;391
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2009;75 eo;47
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2009;75 eo;24
Buurt 50   Schreurserve;BU01530500;Enschede;2009;75 eo;221
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2009;75 eo;71
Buurt 52   Park Stokhorst;BU01530502;Enschede;2009;75 eo;205
Buurt 53   Stokhorst;BU01530503;Enschede;2009;75 eo;81
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2009;75 eo;219
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2009;75 eo;177
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2009;75 eo;72
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2009;75 eo;321
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2009;75 eo;738
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2009;75 eo;67
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2009;75 eo;557
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2009;75 eo;152
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2009;75 eo;109
Buurt 69   het Brunink;BU01530609;Enschede;2009;75 eo;3
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2009;75 eo;22
Buurt 71   Marssteden;BU01530701;Enschede;2009;75 eo;2
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2009;75 eo;1
Buurt 73   Kennispark;BU01530703;Enschede;2009;75 eo;1
Buurt 80   Glanerveld;BU01530800;Enschede;2009;75 eo;39
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2009;75 eo;346
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2009;75 eo;137
Buurt 83   Eekmaat;BU01530803;Enschede;2009;75 eo;58
Buurt 84   Oikos;BU01530804;Enschede;2009;75 eo;14
Buurt 85   Eilermarke;BU01530805;Enschede;2009;75 eo;5
Buurt 86   De Slank;BU01530806;Enschede;2009;75 eo;1
Buurt 87   Dolphia;BU01530807;Enschede;2009;75 eo;17
Buurt 88   Eekmaat West;BU01530808;Enschede;2009;75 eo;186
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2009;75 eo;164
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2009;75 eo;232
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2009;75 eo;96
Buurt 93   Noord Esmarke;BU01530903;Enschede;2009;75 eo;15
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2009;75 eo;30
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2009;75 eo;94
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2009;75 eo;24
Buurt 97   Boekelerveld;BU01530907;Enschede;2009;75 eo;58
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2009;75 eo;10
Buurt 00   City;BU01530000;Enschede;2010;75 eo;180
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2010;75 eo;83
Buurt 02   De Laares;BU01530002;Enschede;2010;75 eo;29
Buurt 03   De Bothoven;BU01530003;Enschede;2010;75 eo;910
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2010;75 eo;183
Buurt 05   Getfert;BU01530005;Enschede;2010;75 eo;309
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2010;75 eo;82
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2010;75 eo;96
Buurt 08   Boddenkamp;BU01530008;Enschede;2010;75 eo;27
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2010;75 eo;224
Buurt 11   Wooldrik;BU01530101;Enschede;2010;75 eo;115
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2010;75 eo;117
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2010;75 eo;194
Buurt 14   Sleutelkamp;BU01530104;Enschede;2010;75 eo;9
Buurt 16   De Leuriks;BU01530106;Enschede;2010;75 eo;5
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2010;75 eo;354
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2010;75 eo;228
Buurt 22   Pathmos;BU01530202;Enschede;2010;75 eo;67
Buurt 23   Stevenfenne;BU01530203;Enschede;2010;75 eo;171
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2010;75 eo;115
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2010;75 eo;77
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2010;75 eo;97
Buurt 27   't Zwering;BU01530207;Enschede;2010;75 eo;169
Buurt 28   Ruwenbos;BU01530208;Enschede;2010;75 eo;53
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2010;75 eo;190
Buurt 31   Twekkelerveld;BU01530301;Enschede;2010;75 eo;326
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2010;75 eo;138
Buurt 41   Bolhaar;BU01530401;Enschede;2010;75 eo;241
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2010;75 eo;121
Buurt 43   Mekkelholt;BU01530403;Enschede;2010;75 eo;320
Buurt 44   Deppenbroek;BU01530404;Enschede;2010;75 eo;413
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2010;75 eo;52
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2010;75 eo;28
Buurt 50   Schreurserve;BU01530500;Enschede;2010;75 eo;229
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2010;75 eo;73
Buurt 52   Park Stokhorst;BU01530502;Enschede;2010;75 eo;214
Buurt 53   Stokhorst;BU01530503;Enschede;2010;75 eo;86
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2010;75 eo;218
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2010;75 eo;149
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2010;75 eo;74
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2010;75 eo;325
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2010;75 eo;743
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2010;75 eo;81
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2010;75 eo;568
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2010;75 eo;158
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2010;75 eo;114
Buurt 69   het Brunink;BU01530609;Enschede;2010;75 eo;1
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2010;75 eo;19
Buurt 71   Marssteden;BU01530701;Enschede;2010;75 eo;2
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2010;75 eo;1
Buurt 73   Kennispark;BU01530703;Enschede;2010;75 eo;1
Buurt 80   Glanerveld;BU01530800;Enschede;2010;75 eo;42
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2010;75 eo;330
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2010;75 eo;141
Buurt 83   Eekmaat;BU01530803;Enschede;2010;75 eo;64
Buurt 84   Oikos;BU01530804;Enschede;2010;75 eo;15
Buurt 85   Eilermarke;BU01530805;Enschede;2010;75 eo;8
Buurt 86   De Slank;BU01530806;Enschede;2010;75 eo;1
Buurt 87   Dolphia;BU01530807;Enschede;2010;75 eo;18
Buurt 88   Eekmaat West;BU01530808;Enschede;2010;75 eo;182
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2010;75 eo;170
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2010;75 eo;242
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2010;75 eo;97
Buurt 93   Noord Esmarke;BU01530903;Enschede;2010;75 eo;19
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2010;75 eo;30
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2010;75 eo;92
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2010;75 eo;23
Buurt 97   Boekelerveld;BU01530907;Enschede;2010;75 eo;57
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2010;75 eo;13
Buurt 00   City;BU01530000;Enschede;2011;75 eo;178
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2011;75 eo;83
Buurt 02   De Laares;BU01530002;Enschede;2011;75 eo;29
Buurt 03   De Bothoven;BU01530003;Enschede;2011;75 eo;874
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2011;75 eo;185
Buurt 05   Getfert;BU01530005;Enschede;2011;75 eo;319
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2011;75 eo;77
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2011;75 eo;100
Buurt 08   Boddenkamp;BU01530008;Enschede;2011;75 eo;26
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2011;75 eo;220
Buurt 11   Wooldrik;BU01530101;Enschede;2011;75 eo;113
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2011;75 eo;127
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2011;75 eo;190
Buurt 14   Sleutelkamp;BU01530104;Enschede;2011;75 eo;11
Buurt 16   De Leuriks;BU01530106;Enschede;2011;75 eo;5
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2011;75 eo;345
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2011;75 eo;240
Buurt 22   Pathmos;BU01530202;Enschede;2011;75 eo;67
Buurt 23   Stevenfenne;BU01530203;Enschede;2011;75 eo;175
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2011;75 eo;113
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2011;75 eo;79
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2011;75 eo;111
Buurt 27   't Zwering;BU01530207;Enschede;2011;75 eo;166
Buurt 28   Ruwenbos;BU01530208;Enschede;2011;75 eo;56
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2011;75 eo;200
Buurt 31   Twekkelerveld;BU01530301;Enschede;2011;75 eo;320
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2011;75 eo;129
Buurt 41   Bolhaar;BU01530401;Enschede;2011;75 eo;260
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2011;75 eo;133
Buurt 43   Mekkelholt;BU01530403;Enschede;2011;75 eo;332
Buurt 44   Deppenbroek;BU01530404;Enschede;2011;75 eo;433
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2011;75 eo;62
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2011;75 eo;30
Buurt 50   Schreurserve;BU01530500;Enschede;2011;75 eo;227
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2011;75 eo;73
Buurt 52   Park Stokhorst;BU01530502;Enschede;2011;75 eo;229
Buurt 53   Stokhorst;BU01530503;Enschede;2011;75 eo;96
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2011;75 eo;223
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2011;75 eo;154
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2011;75 eo;84
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2011;75 eo;345
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2011;75 eo;747
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2011;75 eo;86
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2011;75 eo;560
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2011;75 eo;162
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2011;75 eo;103
Buurt 69   het Brunink;BU01530609;Enschede;2011;75 eo;1
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2011;75 eo;20
Buurt 71   Marssteden;BU01530701;Enschede;2011;75 eo;3
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2011;75 eo;1
Buurt 80   Glanerveld;BU01530800;Enschede;2011;75 eo;45
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2011;75 eo;329
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2011;75 eo;151
Buurt 83   Eekmaat;BU01530803;Enschede;2011;75 eo;58
Buurt 84   Oikos;BU01530804;Enschede;2011;75 eo;18
Buurt 85   Eilermarke;BU01530805;Enschede;2011;75 eo;10
Buurt 86   De Slank;BU01530806;Enschede;2011;75 eo;1
Buurt 87   Dolphia;BU01530807;Enschede;2011;75 eo;21
Buurt 88   Eekmaat West;BU01530808;Enschede;2011;75 eo;169
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2011;75 eo;181
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2011;75 eo;236
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2011;75 eo;106
Buurt 93   Noord Esmarke;BU01530903;Enschede;2011;75 eo;22
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2011;75 eo;28
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2011;75 eo;87
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2011;75 eo;27
Buurt 97   Boekelerveld;BU01530907;Enschede;2011;75 eo;56
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2011;75 eo;14
Buurt 00   City;BU01530000;Enschede;2012;75 eo;177
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2012;75 eo;83
Buurt 02   De Laares;BU01530002;Enschede;2012;75 eo;36
Buurt 03   De Bothoven;BU01530003;Enschede;2012;75 eo;859
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2012;75 eo;181
Buurt 05   Getfert;BU01530005;Enschede;2012;75 eo;324
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2012;75 eo;73
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2012;75 eo;98
Buurt 08   Boddenkamp;BU01530008;Enschede;2012;75 eo;27
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2012;75 eo;211
Buurt 11   Wooldrik;BU01530101;Enschede;2012;75 eo;119
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2012;75 eo;146
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2012;75 eo;190
Buurt 14   Sleutelkamp;BU01530104;Enschede;2012;75 eo;12
Buurt 16   De Leuriks;BU01530106;Enschede;2012;75 eo;5
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2012;75 eo;330
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2012;75 eo;244
Buurt 22   Pathmos;BU01530202;Enschede;2012;75 eo;65
Buurt 23   Stevenfenne;BU01530203;Enschede;2012;75 eo;174
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2012;75 eo;120
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2012;75 eo;85
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2012;75 eo;109
Buurt 27   't Zwering;BU01530207;Enschede;2012;75 eo;168
Buurt 28   Ruwenbos;BU01530208;Enschede;2012;75 eo;62
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2012;75 eo;234
Buurt 31   Twekkelerveld;BU01530301;Enschede;2012;75 eo;319
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2012;75 eo;129
Buurt 41   Bolhaar;BU01530401;Enschede;2012;75 eo;262
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2012;75 eo;136
Buurt 43   Mekkelholt;BU01530403;Enschede;2012;75 eo;330
Buurt 44   Deppenbroek;BU01530404;Enschede;2012;75 eo;447
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2012;75 eo;108
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2012;75 eo;33
Buurt 50   Schreurserve;BU01530500;Enschede;2012;75 eo;224
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2012;75 eo;77
Buurt 52   Park Stokhorst;BU01530502;Enschede;2012;75 eo;230
Buurt 53   Stokhorst;BU01530503;Enschede;2012;75 eo;99
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2012;75 eo;211
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2012;75 eo;160
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2012;75 eo;94
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2012;75 eo;362
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2012;75 eo;752
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2012;75 eo;92
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2012;75 eo;562
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2012;75 eo;158
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2012;75 eo;106
Buurt 69   het Brunink;BU01530609;Enschede;2012;75 eo;1
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2012;75 eo;19
Buurt 71   Marssteden;BU01530701;Enschede;2012;75 eo;1
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2012;75 eo;1
Buurt 80   Glanerveld;BU01530800;Enschede;2012;75 eo;48
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2012;75 eo;288
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2012;75 eo;164
Buurt 83   Eekmaat;BU01530803;Enschede;2012;75 eo;72
Buurt 84   Oikos;BU01530804;Enschede;2012;75 eo;17
Buurt 85   Eilermarke;BU01530805;Enschede;2012;75 eo;14
Buurt 86   De Slank;BU01530806;Enschede;2012;75 eo;2
Buurt 87   Dolphia;BU01530807;Enschede;2012;75 eo;20
Buurt 88   Eekmaat West;BU01530808;Enschede;2012;75 eo;167
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2012;75 eo;179
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2012;75 eo;245
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2012;75 eo;102
Buurt 93   Noord Esmarke;BU01530903;Enschede;2012;75 eo;24
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2012;75 eo;30
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2012;75 eo;90
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2012;75 eo;22
Buurt 97   Boekelerveld;BU01530907;Enschede;2012;75 eo;53
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2012;75 eo;14
Buurt 00   City;BU01530000;Enschede;2013;75 eo;173
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2013;75 eo;84
Buurt 02   De Laares;BU01530002;Enschede;2013;75 eo;45
Buurt 03   De Bothoven;BU01530003;Enschede;2013;75 eo;833
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2013;75 eo;183
Buurt 05   Getfert;BU01530005;Enschede;2013;75 eo;314
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2013;75 eo;70
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2013;75 eo;105
Buurt 08   Boddenkamp;BU01530008;Enschede;2013;75 eo;28
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2013;75 eo;210
Buurt 11   Wooldrik;BU01530101;Enschede;2013;75 eo;124
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2013;75 eo;155
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2013;75 eo;190
Buurt 14   Sleutelkamp;BU01530104;Enschede;2013;75 eo;13
Buurt 16   De Leuriks;BU01530106;Enschede;2013;75 eo;4
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2013;75 eo;327
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2013;75 eo;243
Buurt 22   Pathmos;BU01530202;Enschede;2013;75 eo;67
Buurt 23   Stevenfenne;BU01530203;Enschede;2013;75 eo;176
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2013;75 eo;142
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2013;75 eo;86
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2013;75 eo;115
Buurt 27   't Zwering;BU01530207;Enschede;2013;75 eo;171
Buurt 28   Ruwenbos;BU01530208;Enschede;2013;75 eo;69
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2013;75 eo;258
Buurt 31   Twekkelerveld;BU01530301;Enschede;2013;75 eo;321
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2013;75 eo;112
Buurt 41   Bolhaar;BU01530401;Enschede;2013;75 eo;246
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2013;75 eo;147
Buurt 43   Mekkelholt;BU01530403;Enschede;2013;75 eo;328
Buurt 44   Deppenbroek;BU01530404;Enschede;2013;75 eo;435
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2013;75 eo;109
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2013;75 eo;34
Buurt 50   Schreurserve;BU01530500;Enschede;2013;75 eo;229
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2013;75 eo;83
Buurt 52   Park Stokhorst;BU01530502;Enschede;2013;75 eo;242
Buurt 53   Stokhorst;BU01530503;Enschede;2013;75 eo;105
Buurt 60   Stroinkslanden Noord-Oost;BU01530600;Enschede;2013;75 eo;219
Buurt 61   Stroinkslanden-Zuid;BU01530601;Enschede;2013;75 eo;152
Buurt 62   Stroinkslanden Noord-West;BU01530602;Enschede;2013;75 eo;108
Buurt 63   Wesselerbrink Noord-Oost;BU01530603;Enschede;2013;75 eo;353
Buurt 64   Wesselerbrink Zuid-Oost;BU01530604;Enschede;2013;75 eo;731
Buurt 65   Wesselerbrink Zuid-West;BU01530605;Enschede;2013;75 eo;101
Buurt 66   Wesselerbrink Noord-West;BU01530606;Enschede;2013;75 eo;580
Buurt 67   Helmerhoek-Noord;BU01530607;Enschede;2013;75 eo;167
Buurt 68   Helmerhoek-Zuid;BU01530608;Enschede;2013;75 eo;108
Buurt 69   het Brunink;BU01530609;Enschede;2013;75 eo;1
Buurt 70   Industrie- en havengebied;BU01530700;Enschede;2013;75 eo;19
Buurt 71   Marssteden;BU01530701;Enschede;2013;75 eo;1
Buurt 72   Koekoeksbeekhoek;BU01530702;Enschede;2013;75 eo;2
Buurt 80   Glanerveld;BU01530800;Enschede;2013;75 eo;50
Buurt 81   Bentveld-Bultserve;BU01530801;Enschede;2013;75 eo;296
Buurt 82   Schipholt-Glanermaten;BU01530802;Enschede;2013;75 eo;169
Buurt 83   Eekmaat;BU01530803;Enschede;2013;75 eo;76
Buurt 84   Oikos;BU01530804;Enschede;2013;75 eo;19
Buurt 85   Eilermarke;BU01530805;Enschede;2013;75 eo;17
Buurt 86   De Slank;BU01530806;Enschede;2013;75 eo;4
Buurt 87   Dolphia;BU01530807;Enschede;2013;75 eo;19
Buurt 88   Eekmaat West;BU01530808;Enschede;2013;75 eo;165
Buurt 90   Dorp Lonneker;BU01530900;Enschede;2013;75 eo;173
Buurt 91   Dorp Boekelo;BU01530901;Enschede;2013;75 eo;261
Buurt 92   Buurtschap Lonneker-West;BU01530902;Enschede;2013;75 eo;105
Buurt 93   Noord Esmarke;BU01530903;Enschede;2013;75 eo;24
Buurt 94   Buurtschap Zuid-Esmarke;BU01530904;Enschede;2013;75 eo;29
Buurt 95   Buurtschap Broekheurne;BU01530905;Enschede;2013;75 eo;96
Buurt 96   Buurtschap Usselo;BU01530906;Enschede;2013;75 eo;23
Buurt 97   Boekelerveld;BU01530907;Enschede;2013;75 eo;53
Buurt 98   Buurtschap Twekkelo;BU01530908;Enschede;2013;75 eo;14
Buurt 00   City;BU01530000;Enschede;2014;75 eo;168
Buurt 01   Lasonder, Zeggelt;BU01530001;Enschede;2014;75 eo;81
Buurt 02   De Laares;BU01530002;Enschede;2014;75 eo;51
Buurt 03   De Bothoven;BU01530003;Enschede;2014;75 eo;805
Buurt 04   Hogeland-Noord;BU01530004;Enschede;2014;75 eo;193
Buurt 05   Getfert;BU01530005;Enschede;2014;75 eo;330
Buurt 06   Veldkamp-Getfert-West;BU01530006;Enschede;2014;75 eo;77
Buurt 07   Horstlanden-Stadsweide;BU01530007;Enschede;2014;75 eo;115
Buurt 08   Boddenkamp;BU01530008;Enschede;2014;75 eo;29
Buurt 10   Velve-Lindenhof;BU01530100;Enschede;2014;75 eo;228
Buurt 11   Wooldrik;BU01530101;Enschede;2014;75 eo;118
Buurt 12   Hogeland-Zuid;BU01530102;Enschede;2014;75 eo;161
Buurt 13   Varvik-Diekman;BU01530103;Enschede;2014;75 eo;194
Buurt 14   Sleutelkamp;BU01530104;Enschede;2014;75 eo;15
Buurt 16   De Leuriks;BU01530106;Enschede;2014;75 eo;4
Buurt 20   Cromhoffsbleek-Kotman;BU01530200;Enschede;2014;75 eo;337
Buurt 21   Boswinkel-De Braker;BU01530201;Enschede;2014;75 eo;229
Buurt 22   Pathmos;BU01530202;Enschede;2014;75 eo;63
Buurt 23   Stevenfenne;BU01530203;Enschede;2014;75 eo;191
Buurt 24   Stadsveld-Zuid;BU01530204;Enschede;2014;75 eo;152
Buurt 25   Elferink-Heuwkamp;BU01530205;Enschede;2014;75 eo;84
Buurt 26   Stadsveld-Noord-Bruggert;BU01530206;Enschede;2014;75 eo;115
Buurt 27   't Zwering;BU01530207;Enschede;2014;75 eo;167
Buurt 28   Ruwenbos;BU01530208;Enschede;2014;75 eo;69
Buurt 30   Tubantia-Toekomst;BU01530300;Enschede;2014;75 eo;278
Buurt 31   Twekkelerveld;BU01530301;Enschede;2014;75 eo;316
Buurt 40   Walhof-Roessingh;BU01530400;Enschede;2014;75 eo;110
Buurt 41   Bolhaar;BU01530401;Enschede;2014;75 eo;254
Buurt 42   Roombeek-Roomveldje;BU01530402;Enschede;2014;75 eo;212
Buurt 43   Mekkelholt;BU01530403;Enschede;2014;75 eo;318
Buurt 44   Deppenbroek;BU01530404;Enschede;2014;75 eo;442
Buurt 45   Voortman-Amelink;BU01530405;Enschede;2014;75 eo;67
Buurt 46   Drienerveld-U,T,;BU01530406;Enschede;2014;75 eo;37
Buurt 50   Schreurserve;BU01530500;Enschede;2014;75 eo;230
Buurt 51   Ribbelt-Ribbelerbrink;BU01530501;Enschede;2014;75 eo;85
